地址,岗位名称,地址,关键技术,公司名称,薪资,工作地点,岗位描述,时间要求,学历要求
https://www.zhipin.com/job_detail/df72da17099710f81XR439i-EFpY.html?lid=BBiazm9MxK.search.1&securityId=k6SHizWKtHoUX-H1rZvA-nGtrztCEx6qE4f1nloHmp9ORZjhWQpYLNxTwuteM8ZtBo5_S0xUUH0XgnRPh9oHMbPOtP88ln9cPdgHzddypOFcbY-l&sessionId=,JAVA开发实习,https://www.zhipin.com/job_detail/df72da17099710f81XR439i-EFpY.html?lid=BBiazm9MxK.search.1&securityId=k6SHizWKtHoUX-H1rZvA-nGtrztCEx6qE4f1nloHmp9ORZjhWQpYLNxTwuteM8ZtBo5_S0xUUH0XgnRPh9oHMbPOtP88ln9cPdgHzddypOFcbY-l&sessionId=,"Spring,SpringCloud,SpringBoot,Redis,MVC开发,,,",即信科技,200-300元/天,上海杨浦区凯迪金融大厦凯迪金融大厦505室,"AVA开发实习：
掌握面向对象分析和设计，
精通java语言，对线程安全有一定了解
熟练使用微服务架构，分布式框架
熟悉java底层技术以及J2EE相关规范，
熟悉常见的交互通讯协议，如https，soap，ftp等
熟悉常见的java开发框架
有项目经验优先
必备技能：
熟练使用 Spring、Spring Boot、Spring Cloud、Redis、rabbitmq、apollo等常用的开发框架及工具；
熟练使用 Mysql，并且了解创建表及索引的注意事项等；
熟练使用 Spring 开源框架的联合开发，熟悉 MVC 三层架构开发模式；
熟练使用 SpringMVC 框架和 Mybatis 持久层框架进行 Web 开发；",3天/周 4个月,硕士
https://www.zhipin.com/job_detail/335a9c4a5e4a7c841nx709W4GVZX.html?lid=BBiazm9MxK.search.2&securityId=9EewrxhOkmvE5-P1tkGqHeCJuAtPBoVjINsuxKoB453Z4STwAklkfpvRKkN1pd_dsSqWLxOadjBWaX5mRczQ0CGo7h8KEu2iyDc7dWL65TCfUcEIVdU~&sessionId=,开发实习岗位,https://www.zhipin.com/job_detail/335a9c4a5e4a7c841nx709W4GVZX.html?lid=BBiazm9MxK.search.2&securityId=9EewrxhOkmvE5-P1tkGqHeCJuAtPBoVjINsuxKoB453Z4STwAklkfpvRKkN1pd_dsSqWLxOadjBWaX5mRczQ0CGo7h8KEu2iyDc7dWL65TCfUcEIVdU~&sessionId=,"Spring,Java,mysql,",奇陌科技,200-400元/天,上海松江区来伊份青年大厦101,"1、熟悉vue，Java ，mybatis，mysql，熟悉Spring 生态，熟悉redis，MQ，有多线程，高并发基础更好；
2、本科或以上学历，如果基础比较优秀，可放宽到大专；
3、公司以技术立司，氛围平等，团队鼓励创新，鼓励新技术，我们目前用的都是最新的技术和框架，老板态度平和，用人不拘泥年龄，不以资历论，技术优秀可跨级提干。
【优先条件】
1、较强的专业基础，专业成绩靠前（有，则需提供相关可信证明）；
2、英语过六级优先（六级成绩单截图，拍照）；
3、有参赛经验优先（提供相应获奖证书，团队中的贡献度）；
4、有自己的项目，博客优先（市场，内容，质量）；
如果特别优秀，实习期间不定期加薪。",5天/周 6个月,本科
https://www.zhipin.com/job_detail/f95fecc617ed5a331XV62925FVZV.html?lid=BBiazm9MxK.search.3&securityId=ohDGbKXToMtPa-X1R3mmA5wTWs2dvn74Kg6cfnmoODm0YrO24wx_GSMqFEO6YHEAA2ILAWELQwut2NHhiWC1pO6H7kP-kj8WfWEfVCz62NBzQ_AotbM~&sessionId=,对日软件开发（实习）,https://www.zhipin.com/job_detail/f95fecc617ed5a331XV62925FVZV.html?lid=BBiazm9MxK.search.3&securityId=ohDGbKXToMtPa-X1R3mmA5wTWs2dvn74Kg6cfnmoODm0YrO24wx_GSMqFEO6YHEAA2ILAWELQwut2NHhiWC1pO6H7kP-kj8WfWEfVCz62NBzQ_AotbM~&sessionId=,"软件工程师,Spring,SpringBoot,SpringCloud,后端开发,,",OHS,150-250元/天,上海普陀区天地科技广场1号楼11楼,"岗位职责：
对日软件开发，从事对日大型应用软件系统的详细设计、开发和测试等工作。
1、对日大型应用软件系统（金融、电商等）设计升级方案 编写修改相关代码模块
2、根据开发进度和任务分配 独立开发程序单元 功能测试 保证项目质量
任职条件：
1、本科及以上学历 . 计算机等相关理工科专业 或日语相关专业；
2、每周至少实习三及以上，连续实习四个月以上；
3、熟悉至少一门面向对象的高级编程语言（如Java、、.NET等）；
4、从事过对日软件开发者优先，有日语基础者优先
5、具备一定的行业知识，从事过银行、证券、保险、交通等相关业务开发者优先
6、有良好的学习能力，愿意在公司的培训下，学习工作日语。
具体薪资可面谈，实习合格者可转正；",3天/周 3个月,本科
https://www.zhipin.com/job_detail/a52145b0b88dbf181XBy29y5EFdY.html?lid=BBiazm9MxK.search.4&securityId=KFtkfEAifKjvP-h12SCVogt3aPhhrrguXR12E-xGUfEsl6tNyWP8Liz9SATZyjoV9BHcyX_iHJ-kTtjh-FeUEMksUrs1GdoxEWr5_a6sS8Az6AKMEw~~&sessionId=,java开发实习（23届）,https://www.zhipin.com/job_detail/a52145b0b88dbf181XBy29y5EFdY.html?lid=BBiazm9MxK.search.4&securityId=KFtkfEAifKjvP-h12SCVogt3aPhhrrguXR12E-xGUfEsl6tNyWP8Liz9SATZyjoV9BHcyX_iHJ-kTtjh-FeUEMksUrs1GdoxEWr5_a6sS8Az6AKMEw~~&sessionId=,"后端工程师,Java,",一嗨租车,200-250元/天,上海普陀区华宏商务中心上海普陀区华宏商务中心大渡河路388弄5号华宏商务中心16层,"岗位职责：
1． 根据设计文档或需求说明完成代码编写，调试，测试和维护
2． 分析并解决软件开发工程中的问题
3． 配合完成相关任务目标
岗位要求： 
1、本科及以上学历，2023届计算机及相关理工科专业；
2、有较强的钻研能力，对代码有洁癖，关注业界前沿技术，热爱开源；
3、熟悉Java任一种或多种开发语言，深刻理解面向对象编程；
4、态度端正、工作严谨，有良好的编程习惯及风格，对品质有精益求精的追求。",5天/周 8个月,本科
https://www.zhipin.com/job_detail/91893e60c2c59c460XN83Nq0EFA~.html?lid=BBiazm9MxK.search.5&securityId=scaNac0KDpe60-_1Z1djEpVntr_WEjzcMKSWCIUalr3LUDhOwz8xhNXy8KQPQKYWv_9jpZ7Ks6Zp_2u5H0GPaGloTtXgy2RzGlUC2ZBZDnJF5b8DcX95Ttcu1eoUFBtwuHIVbhWngiGzOTvNkw~~&sessionId=,Java开发工程师（实习岗）,https://www.zhipin.com/job_detail/91893e60c2c59c460XN83Nq0EFA~.html?lid=BBiazm9MxK.search.5&securityId=scaNac0KDpe60-_1Z1djEpVntr_WEjzcMKSWCIUalr3LUDhOwz8xhNXy8KQPQKYWv_9jpZ7Ks6Zp_2u5H0GPaGloTtXgy2RzGlUC2ZBZDnJF5b8DcX95Ttcu1eoUFBtwuHIVbhWngiGzOTvNkw~~&sessionId=,"Java,Web端,JavaScript,MySQL,Redis,Spring,,,",堆糖,250-300元/天,上海黄浦区上海科技京城西楼29楼,"职责描述：
1.在 Mentor 指导下，准时、高质量完成需求开发，或bug修复；
2.参与重构和优化现有代码；
3.参与网站基础服务和应用的设计和开发。
任职要求：
1.计算机专业或者对互联网开发有强烈兴趣；
2.熟悉数据结构和算法，有扎实编码能力；
3.熟悉 Java，有 Web 开发相关经验优先；
4.热爱开源，熟悉开源技术，对技术有强烈爱好；
5.很强的学习能力，对新事物有好奇心和热情；
6.责任感和服务意识，给别人带来快乐。
7.本岗位为日常实习岗，24届及以后毕业同学优先，可长期实习同学优先。
加分项：
熟悉Python、最好能提供个人博客或技术账号",5天/周 6个月,本科
https://www.zhipin.com/job_detail/a8cf308a185e83c71XN-0tu0GFFT.html?lid=BA9VVRB6QR.search.6&securityId=7AsuCA2WeAC8f-p15S90dfuSr0fAi4Ttia3k1i0OVnxK9cAFk85leHEm1nuWX0SABz00eWzdEjszyTikMdFNdFD_TGz97R3B3wB1q4HM5op2Vq4~&sessionId=,华为暑期实习生-软件/测试开发实习工程师,https://www.zhipin.com/job_detail/a8cf308a185e83c71XN-0tu0GFFT.html?lid=BA9VVRB6QR.search.6&securityId=7AsuCA2WeAC8f-p15S90dfuSr0fAi4Ttia3k1i0OVnxK9cAFk85leHEm1nuWX0SABz00eWzdEjszyTikMdFNdFD_TGz97R3B3wB1q4HM5op2Vq4~&sessionId=,"Python,C/C++,测试,软件开发,",华为,200-250元/天,上海浦东新区上海华为技术有限公司(新金桥路)新金桥路2222号,"岗位职责
（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；
（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；
（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。
岗位要求
1、计算机、软件、通信等相关专业本科及以上学历；
2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
4、对数据结构、算法有一定了解。",5天/周 3个月,硕士
https://www.zhipin.com/job_detail/91da5451563e6de61nNz3N-9FlRU.html?lid=BA9VVRB6QR.search.7&securityId=XHw9T8YRxs6Ud-Y17htP9dIaIfbDKtOz8Fp9JgTvf4Pp_PoOrYRT-GQ5bcPiM5Zwl2YSwLMCFXNLBiEBv0myhHBUlBY0Rh75Y6X4mqZ0gZZwqSLTHN19NJdyNtfsodllf1reZ9pdp5P5T9GsYeU6xQ~~&sessionId=,后端研发工程师-实习生,https://www.zhipin.com/job_detail/91da5451563e6de61nNz3N-9FlRU.html?lid=BA9VVRB6QR.search.7&securityId=XHw9T8YRxs6Ud-Y17htP9dIaIfbDKtOz8Fp9JgTvf4Pp_PoOrYRT-GQ5bcPiM5Zwl2YSwLMCFXNLBiEBv0myhHBUlBY0Rh75Y6X4mqZ0gZZwqSLTHN19NJdyNtfsodllf1reZ9pdp5P5T9GsYeU6xQ~~&sessionId=,"SQL,Python,数据结构,Spring,SpringBoot,SpringCloud,,,",爱钛技术,300-500元/天,上海浦东新区张江创业源北区11号楼336,"岗位职责
实习好机会，只待你挑战
亮点一：团队均来自一线机构，助你技术能力全面进阶；
亮点二：公司氛围友善，尊重新生代个性，给你充分舞台；
亮点三：业内人脉广泛，优中选优的你，享有一线互联网大厂直推机会。
在这里，来自UCLA、NYU、哥大、南加大等国际一流高效的同学们留下了宝贵的经历，加入我们吧，让你的实习经历与众不同。
___________________________________________________________
 岗位描述：
1.负责公司各产品的技术对接，调优，架构咨询等；
2.负责应用系统的性能分析与系统优化，不断提高系统运行效率；
3.根据客户需求，帮助公司改善产品甚至探讨方向、策略；
4.协助团队其他成员，完成软件开发、测试工作。
任职要求：
我们希望你，掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；
我们希望你，熟悉JAVA，熟悉Python、SQL、pandas数据分析库，熟悉理解各种经典机器学习模型及算法；
我们希望你，有的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；
我们希望你，积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；
我们希望你，热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界新技术。
期待的你： 
 1、善于学习，对技术改变产业有执着的信仰和追求； 
 2、乐于合作，对简单可信赖的团队文化有高度认同；
 3、执行力强，积极主动，满足业务时间节点交付要求； 
 4、逻辑清晰，理解力强，能够快速把握业务需求的技术实现要点，并给出和实现解决方案；
 5、富有进取心，致力于技术推动需求成就卓越。
—————————————————————————————————
公司介绍： 上海爱钛技术咨询有限公司成立于2019年1月，由来自百度、蚂蚁、普华永道等知名机构的资深员工联合创办，并由原百度金融战略负责人领衔。其致力于通过企业大数据图谱识别企业风险，为银行、证券、融资租赁等金融机构提供风险管理SaaS平台服务。",4天/周 3个月,本科
https://www.zhipin.com/job_detail/bb1c5a66e29951701XF529m8E1RU.html?lid=BA9VVRB6QR.search.8&securityId=3nW4pX7pCJND1-81-AP_oeLIU_S5rJsJQBP6UTRIRLfwuFARAnNz_fPjuQxt8WTrcbEnZ_QPkNhNO7oHdWrWHNV3Z4VMhLrbDUxs2cbN5d9oJzWR&sessionId=,休闲游戏开发实习工程师,https://www.zhipin.com/job_detail/bb1c5a66e29951701XF529m8E1RU.html?lid=BA9VVRB6QR.search.8&securityId=3nW4pX7pCJND1-81-AP_oeLIU_S5rJsJQBP6UTRIRLfwuFARAnNz_fPjuQxt8WTrcbEnZ_QPkNhNO7oHdWrWHNV3Z4VMhLrbDUxs2cbN5d9oJzWR&sessionId=,"Unity3D,JavaScript,计算机/软件工程相关专业,,,,",将游科技,200-300元/天,上海浦东新区华晔创意园A幢403室,"岗位职责：
1、负责休闲游戏移动端的开发、升级和BUG修复；
2、负责休闲游戏的移动端第三方SDK的接入。
实习资格：
1、计算机相关专业，本科以上学历；
2、熟悉Unity3D、Cocos、iOS、Java，有良好的编程思维和习惯；
3、有多款休闲游戏开发经验者优先；
4、热爱游戏，有良好的团队合作意识和较强的责任心。",5天/周 3个月,本科
https://www.zhipin.com/job_detail/2c774ca478e7b8e51nV_3Ny1F1ZR.html?lid=BA9VVRB6QR.search.9&securityId=LmTcWmVlUGbF8-W1EvabYJb1k0FrdTQotwUAfpKcdArMik9ZsReusa3gDlCIVPt3QDAu9jYJM1UnZ7x2iPL540TEPdFwyYeVd35HMDxJ7eRRNk4~&sessionId=,软件开发工程师实习生,https://www.zhipin.com/job_detail/2c774ca478e7b8e51nV_3Ny1F1ZR.html?lid=BA9VVRB6QR.search.9&securityId=LmTcWmVlUGbF8-W1EvabYJb1k0FrdTQotwUAfpKcdArMik9ZsReusa3gDlCIVPt3QDAu9jYJM1UnZ7x2iPL540TEPdFwyYeVd35HMDxJ7eRRNk4~&sessionId=,"Java,JavaScript,HTML,CSS,Python,软件开发,",华为,300-500元/天,上海浦东新区上海华为技术有限公司(新金桥路)2222号,"岗位要求：
1、计算机、软件、通信等相关专业本科及以上学历；
2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
4、对数据结构、算法有一定了解；
5、优选条件：
（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；
（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参与编程开源社区组织；
（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。
岗位职责：
在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：
（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；
（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；
（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。",4天/周 2个月,本科
https://www.zhipin.com/job_detail/5a4a7a07601a032a1nJ739W1FFBZ.html?lid=BztObI63kL.search.10&securityId=ghQCmUZBGGD2g-v1ktL5RjwEjeyLgDzaHz8v4ug06eaqsVupy0bA4gzIuaTLbK6ZkS886xwwVuNDvAK7QIdgFQyazye4hLp9YXvrX04mKSPAy1MhNuL5ZEeY4a79975vz0GDHlKzDbFNu_yjAYGW21TG&sessionId=,unity3D开发（实习）,https://www.zhipin.com/job_detail/5a4a7a07601a032a1nJ739W1FFBZ.html?lid=BztObI63kL.search.10&securityId=ghQCmUZBGGD2g-v1ktL5RjwEjeyLgDzaHz8v4ug06eaqsVupy0bA4gzIuaTLbK6ZkS886xwwVuNDvAK7QIdgFQyazye4hLp9YXvrX04mKSPAy1MhNuL5ZEeY4a79975vz0GDHlKzDbFNu_yjAYGW21TG&sessionId=,"游戏引擎,移动端,Windows,",迅阳科技,150-250元/天,上海杨浦区同济大学-科技园赤峰路65号2号楼308,"1.使用Unity3D引擎开发PC平台、Android平台；
2.根据策划与美术需求，配合程序开发团队，共同完成客户端各功能模块的相关开发和维护工作；
3. 有良好的自学能力，能独立解决问题，具备良好的沟通和表达能力，良好的学习能力以及较强的团队精神
4. 具有AR/VR、shaderGraph、HDRP等一定开发能力的优先考虑
5.实习结束后，超过六个月可以根据实习能力，转为正式员工",5天/周 3个月,本科
