岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
Java开发工程师（实习岗）,堆糖,250-300元/天,上海黄浦区上海科技京城西楼29楼,"职责描述：
1.在 Mentor 指导下，准时、高质量完成需求开发，或bug修复；
2.参与重构和优化现有代码；
3.参与网站基础服务和应用的设计和开发。
任职要求：
1.计算机专业或者对互联网开发有强烈兴趣；
2.熟悉数据结构和算法，有扎实编码能力；
3.熟悉 Java，有 Web 开发相关经验优先；
4.热爱开源，熟悉开源技术，对技术有强烈爱好；
5.很强的学习能力，对新事物有好奇心和热情；
6.责任感和服务意识，给别人带来快乐。
7.本岗位为日常实习岗，24届及以后毕业同学优先，可长期实习同学优先。
加分项：
熟悉Python、最好能提供个人博客或技术账号","5天/周
6个月
本科","Java,Web端,JavaScript,MySQL,Redis,Spring,,,"
后端研发工程师-实习生,爱钛技术,300-500元/天,上海浦东新区张江创业源北区11号楼336,"岗位职责
实习好机会，只待你挑战
亮点一：团队均来自一线机构，助你技术能力全面进阶；
亮点二：公司氛围友善，尊重新生代个性，给你充分舞台；
亮点三：业内人脉广泛，优中选优的你，享有一线互联网大厂直推机会。
在这里，来自UCLA、NYU、哥大、南加大等国际一流高效的同学们留下了宝贵的经历，加入我们吧，让你的实习经历与众不同。
___________________________________________________________
 岗位描述：
1.负责公司各产品的技术对接，调优，架构咨询等；
2.负责应用系统的性能分析与系统优化，不断提高系统运行效率；
3.根据客户需求，帮助公司改善产品甚至探讨方向、策略；
4.协助团队其他成员，完成软件开发、测试工作。
任职要求：
我们希望你，掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；
我们希望你，熟悉JAVA，熟悉Python、SQL、pandas数据分析库，熟悉理解各种经典机器学习模型及算法；
我们希望你，有的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；
我们希望你，积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；
我们希望你，热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界新技术。
期待的你： 
 1、善于学习，对技术改变产业有执着的信仰和追求； 
 2、乐于合作，对简单可信赖的团队文化有高度认同；
 3、执行力强，积极主动，满足业务时间节点交付要求； 
 4、逻辑清晰，理解力强，能够快速把握业务需求的技术实现要点，并给出和实现解决方案；
 5、富有进取心，致力于技术推动需求成就卓越。
—————————————————————————————————
公司介绍： 上海爱钛技术咨询有限公司成立于2019年1月，由来自百度、蚂蚁、普华永道等知名机构的资深员工联合创办，并由原百度金融战略负责人领衔。其致力于通过企业大数据图谱识别企业风险，为银行、证券、融资租赁等金融机构提供风险管理SaaS平台服务。","4天/周
3个月
本科","SQL,Python,数据结构,Spring,SpringBoot,SpringCloud,,,"
JAVA开发实习,即信科技,200-300元/天,上海杨浦区凯迪金融大厦凯迪金融大厦505室,"AVA开发实习：
掌握面向对象分析和设计，
精通java语言，对线程安全有一定了解
熟练使用微服务架构，分布式框架
熟悉java底层技术以及J2EE相关规范，
熟悉常见的交互通讯协议，如https，soap，ftp等
熟悉常见的java开发框架
有项目经验优先
必备技能：
熟练使用 Spring、Spring Boot、Spring Cloud、Redis、rabbitmq、apollo等常用的开发框架及工具；
熟练使用 Mysql，并且了解创建表及索引的注意事项等；
熟练使用 Spring 开源框架的联合开发，熟悉 MVC 三层架构开发模式；
熟练使用 SpringMVC 框架和 Mybatis 持久层框架进行 Web 开发；","3天/周
4个月
硕士","Spring,SpringCloud,SpringBoot,Redis,MVC开发,,,"
对日软件开发（实习）,OHS,150-250元/天,上海普陀区天地科技广场1号楼11楼,"岗位职责：
对日软件开发，从事对日大型应用软件系统的详细设计、开发和测试等工作。
1、对日大型应用软件系统（金融、电商等）设计升级方案 编写修改相关代码模块
2、根据开发进度和任务分配 独立开发程序单元 功能测试 保证项目质量
任职条件：
1、本科及以上学历 . 计算机等相关理工科专业 或日语相关专业；
2、每周至少实习三及以上，连续实习四个月以上；
3、熟悉至少一门面向对象的高级编程语言（如Java、、.NET等）；
4、从事过对日软件开发者优先，有日语基础者优先
5、具备一定的行业知识，从事过银行、证券、保险、交通等相关业务开发者优先
6、有良好的学习能力，愿意在公司的培训下，学习工作日语。
具体薪资可面谈，实习合格者可转正；","3天/周
3个月
本科","软件工程师,Spring,SpringBoot,SpringCloud,后端开发,,"
java开发实习（23届）,一嗨租车,200-250元/天,上海普陀区华宏商务中心上海普陀区华宏商务中心大渡河路388弄5号华宏商务中心16层,"岗位职责：
1． 根据设计文档或需求说明完成代码编写，调试，测试和维护
2． 分析并解决软件开发工程中的问题
3． 配合完成相关任务目标
岗位要求： 
1、本科及以上学历，2023届计算机及相关理工科专业；
2、有较强的钻研能力，对代码有洁癖，关注业界前沿技术，热爱开源；
3、熟悉Java任一种或多种开发语言，深刻理解面向对象编程；
4、态度端正、工作严谨，有良好的编程习惯及风格，对品质有精益求精的追求。","5天/周
8个月
本科","后端工程师,Java,"
开发实习岗位,奇陌科技,200-400元/天,上海松江区来伊份青年大厦101,"1、熟悉vue，Java ，mybatis，mysql，熟悉Spring 生态，熟悉redis，MQ，有多线程，高并发基础更好；
2、本科或以上学历，如果基础比较优秀，可放宽到大专；
3、公司以技术立司，氛围平等，团队鼓励创新，鼓励新技术，我们目前用的都是最新的技术和框架，老板态度平和，用人不拘泥年龄，不以资历论，技术优秀可跨级提干。
【优先条件】
1、较强的专业基础，专业成绩靠前（有，则需提供相关可信证明）；
2、英语过六级优先（六级成绩单截图，拍照）；
3、有参赛经验优先（提供相应获奖证书，团队中的贡献度）；
4、有自己的项目，博客优先（市场，内容，质量）；
如果特别优秀，实习期间不定期加薪。","5天/周
6个月
本科","Spring,Java,mysql,"
后端研发实习生,比心,200-300元/天,上海徐汇区上海鱼泡泡信息科技有限公司6楼,"岗位职责：
1. 本科及以上学历，24届毕业生，能实习6个月及以上，计算机、通信等相关专业优先；
2.理解计算机原理，有良好的数据结构和算法基础；
3. 熟悉Java语言开发，熟悉常见开源分布式中间件，MySQL、Redis、MQ等常用组件；
4. 热爱学习，热爱钻研，善于分析问题、解决问题
5. 自我驱动，愿意主动承担责任，主动改进工作、推动问题解决。","5天/周
6个月
本科","后端工程师,Java,MySQL,"
软件研发实习生,慧泉软件,240-320元/天,上海静安区金赢108创意广场银座201室,"【招聘目标】培养后备人才，发掘合适人选直接录用为正事员工。不欢迎混资历和单纯学技术者。
【时间要求】至少3-6个月（实际出勤工作日不低于3个月），持续3个月以上有额外绩效奖金。
======================================================技能要求：数据库，J2EE，java，JS，Vue
       本次招聘岗位为软件开发实习生，录用后按情况安排到适当的项目组中工作。主要职责是按照项目组负责人安排完成指定功能或较小粒度模块的开发以及测试/调试工作。
       岗位基本要求如下：
1）有较为扎实的程序设计基础知识，对面向对象编程理念有深刻的认识；
2）熟练掌握Java语言，具备多种编程语言能力者优先录用；
3）熟练掌握关系型数据库基本原理及相关基础概念，熟练掌握通过SQL语言进行关系型数据库查询、数据处理的基本操作；
4）应聘Java开发需要熟练掌握J2EE Web开发技术，了解HTML、CSS、JS、JSON等相关技术；
5）为人踏实勤奋、认真负责、有上进心，对自身能力有准确定位，与同事能融洽相处。","3天/周
6个月
本科","JavaScript,SQL,HTML,CSS,Web端,软件工程师,"
服务端研发实习生,拼多多,200-250元/天,上海长宁区金虹桥国际中心南楼,"1.移动社交电商平台核心服务研发；
2.海量数据分析处理和挖掘； 
3.基础服务和公共组件研发；
4.对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提高系统性能。
任职要求
1.2023年应届毕业生，本科及以上学历，计算机相关专业，热爱计算机科学和互联网技术；
2.深刻理解计算机数据结构和算法设计，熟练掌握C/C++、Java或其他一门主流编程语言；
3.了解操作系统，数据库和计算机网络原理，有过服务器端应用开发经验；
4.优秀的分析问题和解决问题的能力，勇于解决难题；
5.强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神。","2天/周
1个月
本科","后端开发,服务器端开发,客户端开发,"
可观测研发实习生,小红书,260-270元/天,上海黄浦区Soho复兴广场小红书,"工作地点为上海，25年毕业，本硕皆可
无房补，原则上只接受上海高校或者外地高校学校要求实习的实习生，实习时间要求6个月
工作职责：
1. 负责可观测体系研发工作，围绕Metric、Log、Trace三大支柱，从全栈领域展开可观测基础能力建设。
2. 负责监控平台、全链路追踪、日志平台、计算引擎（流式分析、实时告警、时序检测等）、云原生可观测等相关技术架构及产品设计。
3. 保障可观测相关基础服务，在高并发环境下的高性能、高可用，推动技术、产品持续优化迭代。
职位要求：
1. 全日制统招本科及以上学历；
2. 精通Java或Go语言，熟悉并发编程、序列化、存储压缩等，有扎实的编程基础；
3. 熟悉云原生可观测性体系的相关产品及组件，包括不仅限于：CAT、OpenTelemetry、SkyWalking、Prometheus、ELK等，了解Kubernetes基本原理并能运用；
4. 熟悉基础技术（如通信、存储、MQ等）开源组件，深入了解细节，掌握实现原理优先；
5. 善于发现、解决问题，善于总结、思考、跨团队协作，能吃苦耐劳；
6. 关注业界新技术，好奇求知，有强烈的责任心及抗压能力；","5天/周
5个月
本科","后端工程师,Java,Spring,Java开发经验,,"
